Time,Temp,RH,Pressure,Gas,Lat,Lon,RSSI,Flag,Reset,Heap1,Heap2,CPU_Temp,Td,J11
15:53:03,4.6,74.42,1010.39,37319,51.787216,-4.002584,-43,0,POWERON,202196,177408,57.8,0.4470713928217902,0.594652997062338
15:58:03,4.59,74.43,1010.38,37386,51.787472,-4.002472,-43,0,POWERON,202196,177408,57.2,0.43926741288217297,0.78039799396174
16:03:03,4.57,74.43,1010.36,37588,51.787439,-4.002563,-43,0,POWERON,202196,177408,57.8,0.41994676629460737,0.9660323293783007
16:08:03,4.56,74.43,1010.33,37486,51.787519,-4.002922,-44,0,POWERON,202196,177408,57.2,0.41028642250961345,0.9660343784993267
16:13:03,4.55,74.41,1010.31,37419,51.787321,-4.002783,-43,0,POWERON,202196,177408,57.2,0.39691470475869256,1.337171775092117
16:18:03,4.54,74.43,1010.26,37453,51.787465,-4.002676,-43,0,POWERON,202196,177408,57.2,0.3909656939570614,0.5949010801631309
16:23:04,4.53,74.44,1010.22,37386,51.787077,-4.002384,-45,0,POWERON,201904,177408,57.2,0.3831603576626586,0.7805336294402943
16:28:50,4.51,74.45,1010.21,37419,51.786921,-4.002176,-43,0,POWERON,202200,177408,57.8,0.36569377322705615,0.8733292217801023
16:33:50,4.5,74.48,1010.2,37486,51.787278,-4.002169,-44,0,POWERON,202200,177408,57.2,0.36159485554141496,0.40989176856412773
16:38:50,4.48,74.47,1010.19,37520,51.787476,-4.002726,-45,0,POWERON,202200,177408,57.2,0.34041904282897933,1.058790635621804
16:43:50,4.46,74.52,1010.18,37588,51.787286,-4.002667,-45,0,POWERON,202200,177408,57.2,0.33036026551881464,0.5029388655082229
16:48:50,4.44,74.52,1010.18,37520,51.787085,-4.002632,-44,0,POWERON,202200,177408,57.2,0.31103655604860425,0.9661854735105403
16:53:50,4.43,74.5,1010.18,37622,51.787168,-4.002743,-42,0,POWERON,202200,177408,57.2,0.29767089317600237,1.3365662872600979
16:58:50,4.41,74.53,1010.16,37656,51.78721,-4.00267,-42,0,POWERON,202200,177408,57.8,0.2839021534620978,0.6884369856952435
17:03:50,4.38,74.56,1010.13,37792,51.787184,-4.002672,-44,0,POWERON,202200,177408,57.2,0.2604670350700769,0.7811706130673566
